Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,latitude,longitude
Giannis Antetokounmpo,PF,24,MIL,72,72,32.8,10,17.3,0.578,0.7,2.8,0.256,9.3,14.5,0.641,0.599,6.9,9.5,0.729,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,2018,44.5,-89.5
Bradley Beal,SG,25,WAS,82,82,36.9,9.3,19.6,0.475,2.5,7.3,0.351,6.8,12.4,0.548,0.54,4.4,5.5,0.808,1.1,3.9,5,5.5,1.5,0.7,2.7,2.8,25.6,2018,47.75,-120.74
Stephen Curry,PG,30,GSW,69,69,33.8,9.2,19.4,0.472,5.1,11.7,0.437,4,7.7,0.525,0.604,3.8,4.2,0.916,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3,2018,36.77,-119.41
Anthony Davis,C,25,NOP,56,56,33,9.5,18.3,0.517,0.9,2.6,0.331,8.6,15.7,0.547,0.54,6.1,7.7,0.794,3.1,8.9,12,3.9,1.6,2.4,2,2.4,25.9,2018,30.39,-92.33
Kevin Durant,SF,30,GSW,78,78,34.6,9.2,17.7,0.521,1.8,5,0.353,7.5,12.8,0.587,0.571,5.7,6.5,0.885,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2,26,2018,36.77,-119.41
Joel Embiid,C,24,PHI,64,64,33.7,9.1,18.7,0.484,1.2,4.1,0.3,7.8,14.6,0.535,0.517,8.2,10.1,0.804,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,27.5,2018,41.2,-77.19
Paul George,SF,28,OKC,77,77,36.9,9.2,21,0.438,3.8,9.8,0.386,5.4,11.1,0.484,0.529,5.9,7,0.839,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,28,2018,36.08,-96.92
Blake Griffin,PF,29,DET,75,75,35,8.3,17.9,0.462,2.5,7,0.362,5.7,10.9,0.525,0.532,5.5,7.3,0.753,1.3,6.2,7.5,5.4,0.7,0.4,3.4,2.7,24.5,2018,44.18,-84.51
James Harden,PG,29,HOU,78,78,36.8,10.8,24.5,0.442,4.8,13.2,0.368,6,11.3,0.528,0.541,9.7,11,0.879,0.8,5.8,6.6,7.5,2,0.7,5,3.1,36.1,2018,31,-100
Kyrie Irving,PG,26,BOS,67,67,33,9,18.5,0.487,2.6,6.5,0.401,6.4,12,0.533,0.557,3.2,3.7,0.873,1.1,3.9,5,6.9,1.5,0.5,2.6,2.5,23.8,2018,42.41,-71.38
LeBron James,SF,34,LAL,55,55,35.2,10.1,19.9,0.51,2,5.9,0.339,8.1,14,0.582,0.56,5.1,7.6,0.665,1,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,2018,36.77,-119.41
Nikola Jokić,C,23,DEN,80,80,31.3,7.7,15.1,0.511,1,3.4,0.307,6.7,11.7,0.569,0.545,3.6,4.4,0.821,2.9,8,10.8,7.3,1.4,0.7,3.1,2.9,20.1,2018,39.11,-105.36
Kawhi Leonard,SF,27,TOR,60,60,34,9.3,18.8,0.496,1.9,5,0.371,7.5,13.8,0.542,0.546,6.1,7.1,0.854,1.3,6,7.3,3.3,1.8,0.4,2,1.5,26.6,2018,43.65,-79.34
Damian Lillard,PG,28,POR,80,80,35.5,8.5,19.2,0.444,3,8,0.369,5.6,11.1,0.499,0.522,5.9,6.4,0.912,0.9,3.8,4.6,6.9,1.1,0.4,2.7,1.9,25.8,2018,44,-120.5
Kyle Lowry,PG,32,TOR,65,65,34,4.7,11.4,0.411,2.4,7,0.347,2.3,4.4,0.514,0.518,2.5,3,0.83,0.6,4.2,4.8,8.7,1.4,0.5,2.8,2.6,14.2,2018,43.65,-79.34
Khris Middleton,SF,27,MIL,77,77,31.1,6.6,14.9,0.441,2.3,6.2,0.378,4.2,8.8,0.485,0.519,2.8,3.4,0.837,0.6,5.3,6,4.3,1,0.1,2.3,2.2,18.3,2018,44.5,-89.5
Dirk Nowitzki,PF,40,DAL,51,20,15.6,2.6,7.4,0.359,1.3,4,0.312,1.4,3.4,0.415,0.444,0.8,1,0.78,0.1,3,3.1,0.7,0.2,0.4,0.4,1.5,7.3,2018,31,-100
Victor Oladipo,SG,26,IND,36,36,31.9,6.9,16.3,0.423,2.1,6,0.343,4.9,10.3,0.47,0.486,2.9,3.9,0.73,0.6,5,5.6,5.2,1.7,0.3,2.3,2,18.8,2018,40.27,-86.13
D'Angelo Russell,PG,22,BRK,81,81,30.2,8.1,18.7,0.434,2.9,7.8,0.369,5.2,10.9,0.482,0.512,2,2.5,0.78,0.7,3.2,3.9,7,1.2,0.2,3.1,1.7,21.1,2018,43,-75
Ben Simmons,PG,22,PHI,79,79,34.2,6.8,12.2,0.563,0,0.1,0,6.8,12.1,0.566,0.563,3.3,5.4,0.6,2.2,6.6,8.8,7.7,1.4,0.8,3.5,2.6,16.9,2018,41.2,-77.19
Klay Thompson,SG,28,GSW,78,78,34,8.4,18,0.467,3.1,7.7,0.402,5.3,10.3,0.516,0.553,1.7,2,0.816,0.5,3.4,3.8,2.4,1.1,0.6,1.5,2,21.5,2018,36.77,-119.41
Karl-Anthony Towns,C,23,MIN,77,77,33.1,8.8,17.1,0.518,1.8,4.6,0.4,7,12.5,0.562,0.572,4.9,5.8,0.836,3.4,9,12.4,3.4,0.9,1.6,3.1,3.8,24.4,2018,46.39,-94.64
Nikola Vučević,C,28,ORL,80,80,31.4,8.8,16.9,0.518,1.1,2.9,0.364,7.7,14,0.549,0.549,2.2,2.8,0.789,2.8,9.2,12,3.8,1,1.1,2,2,20.8,2018,28,-81.76
Dwyane Wade,SG,37,MIA,72,2,26.2,5.8,13.3,0.433,1.2,3.6,0.33,4.6,9.7,0.472,0.478,2.3,3.2,0.708,1,3,4,4.2,0.8,0.5,2.3,1.6,15,2018,27.99,-81.76
Kemba Walker,PG,28,CHO,82,82,34.9,8.9,20.5,0.434,3.2,8.9,0.356,5.7,11.6,0.494,0.511,4.6,5.5,0.844,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6,2018,35.78,-80.79
Russell Westbrook,PG,30,OKC,73,73,36,8.6,20.2,0.428,1.6,5.6,0.29,7,14.5,0.481,0.468,4.1,6.2,0.656,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9,2018,36.08,-96.92
Bam Adebayo,PF,22,MIA,72,72,33.6,6.1,11,0.557,0,0.2,0.143,6.1,10.8,0.564,0.558,3.7,5.3,0.691,2.4,7.8,10.2,5.1,1.1,1.3,2.8,2.5,15.9,2019,27.99,-81.76
Giannis Antetokounmpo,PF,25,MIL,63,63,30.4,10.9,19.7,0.553,1.4,4.7,0.304,9.5,15,0.631,0.589,6.3,10,0.633,2.2,11.4,13.6,5.6,1,1,3.7,3.1,29.5,2019,44.5,-89.5
Devin Booker,SG,23,PHO,70,70,35.9,9,18.3,0.489,2,5.7,0.354,6.9,12.6,0.549,0.544,6.7,7.3,0.919,0.4,3.8,4.2,6.5,0.7,0.3,3.8,3,26.6,2019,34.04,-111.09
Jimmy Butler,SF,30,MIA,58,58,33.8,5.9,13.1,0.455,0.5,2.1,0.244,5.4,11,0.495,0.474,7.6,9.1,0.834,1.8,4.8,6.7,6,1.8,0.6,2.2,1.4,19.9,2019,27.99,-81.76
Anthony Davis,PF,26,LAL,62,62,34.4,8.9,17.7,0.503,1.2,3.5,0.33,7.7,14.2,0.546,0.536,7.2,8.5,0.846,2.3,7,9.3,3.2,1.5,2.3,2.5,2.5,26.1,2019,36.77,-119.41
Luka Dončić,PG,20,DAL,61,61,33.6,9.5,20.6,0.463,2.8,8.9,0.316,6.7,11.7,0.574,0.531,7,9.2,0.758,1.3,8.1,9.4,8.8,1,0.2,4.3,2.5,28.8,2019,31,-100
Joel Embiid,C,25,PHI,51,51,29.5,7.5,15.7,0.477,1.1,3.4,0.331,6.4,12.3,0.517,0.512,6.9,8.5,0.807,2.8,8.9,11.6,3,0.9,1.3,3.1,3.4,23,2019,41.2,-77.19
Rudy Gobert,C,27,UTA,68,68,34.3,5.7,8.2,0.693,0,0,,5.7,8.2,0.693,0.693,3.7,5.9,0.63,3.4,10.1,13.5,1.5,0.8,2,1.9,3.2,15.1,2019,39.42,-111.95
James Harden,SG,30,HOU,68,68,36.5,9.9,22.3,0.444,4.4,12.4,0.355,5.5,9.9,0.556,0.543,10.2,11.8,0.865,1,5.5,6.6,7.5,1.8,0.9,4.5,3.3,34.3,2019,31,-100
Brandon Ingram,PF,22,NOP,62,62,33.9,8.2,17.7,0.463,2.4,6.2,0.391,5.8,11.5,0.501,0.531,5,5.9,0.851,0.8,5.3,6.1,4.2,1,0.6,3,2.9,23.8,2019,30.39,-92.33
LeBron James,PG,35,LAL,67,67,34.6,9.6,19.4,0.493,2.2,6.3,0.348,7.4,13.1,0.564,0.55,3.9,5.7,0.693,1,6.9,7.8,10.2,1.2,0.5,3.9,1.8,25.3,2019,36.77,-119.41
Nikola Jokić,C,24,DEN,73,73,32,7.7,14.7,0.528,1.1,3.5,0.314,6.6,11.2,0.594,0.565,3.4,4.1,0.817,2.3,7.5,9.7,7,1.2,0.6,3.1,3,19.9,2019,39.11,-105.36
Kawhi Leonard,SF,28,LAC,57,57,32.4,9.3,19.9,0.47,2.2,5.7,0.378,7.2,14.2,0.506,0.524,6.2,7.1,0.886,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2,27.1,2019,36.78,-119.42
Damian Lillard,PG,29,POR,66,66,37.5,9.5,20.4,0.463,4.1,10.2,0.401,5.4,10.2,0.524,0.563,7,7.8,0.888,0.5,3.8,4.3,8,1.1,0.3,2.9,1.7,30,2019,44,-120.5
Kyle Lowry,PG,33,TOR,58,58,36.2,5.8,13.8,0.416,2.8,8,0.352,2.9,5.8,0.504,0.518,5.1,5.9,0.857,0.6,4.5,5,7.5,1.4,0.4,3.1,3.3,19.4,2019,43.65,-79.34
Khris Middleton,SF,28,MIL,62,59,29.9,7.6,15.3,0.497,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.916,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9,2019,44.5,-89.5
Donovan Mitchell,SG,23,UTA,69,69,34.3,8.7,19.4,0.449,2.5,6.9,0.366,6.2,12.6,0.494,0.513,4,4.7,0.863,0.8,3.6,4.4,4.3,1,0.2,2.7,2.5,24,2019,39.42,-111.95
Chris Paul,PG,34,OKC,70,70,31.5,6.2,12.7,0.489,1.6,4.3,0.365,4.6,8.3,0.554,0.552,3.6,4,0.907,0.4,4.6,5,6.7,1.6,0.2,2.3,2.3,17.6,2019,36.08,-96.92
Domantas Sabonis,PF,23,IND,62,62,34.8,7.4,13.7,0.54,0.3,1.1,0.254,7.1,12.6,0.565,0.55,3.5,4.8,0.723,3,9.4,12.4,5,0.8,0.5,2.7,3.1,18.5,2019,40.27,-86.13
Pascal Siakam,PF,25,TOR,60,60,35.2,8.3,18.4,0.453,2.2,6.1,0.359,6.2,12.3,0.499,0.512,4,5.1,0.792,1.1,6.3,7.3,3.5,1,0.9,2.5,2.8,22.9,2019,43.65,-79.34
Ben Simmons,PG,23,PHI,57,57,35.4,6.6,11.4,0.58,0,0.1,0.286,6.5,11.2,0.583,0.581,3.2,5.2,0.621,2,5.8,7.8,8,2.1,0.6,3.5,3.3,16.4,2019,41.2,-77.19
Jayson Tatum,PF,21,BOS,66,66,34.3,8.4,18.6,0.45,2.9,7.1,0.403,5.5,11.5,0.48,0.527,3.8,4.7,0.812,1,6,7,3,1.4,0.9,2.3,2.1,23.4,2019,42.41,-71.38
Kemba Walker,PG,29,BOS,56,56,31.1,6.8,15.9,0.425,3.2,8.4,0.381,3.5,7.4,0.476,0.526,3.7,4.3,0.864,0.6,3.2,3.9,4.8,0.9,0.5,2.1,1.6,20.4,2019,42.41,-71.38
Russell Westbrook,PG,31,HOU,57,57,35.9,10.6,22.5,0.472,1,3.7,0.258,9.6,18.7,0.514,0.493,5.1,6.7,0.763,1.8,6.2,7.9,7,1.6,0.4,4.5,3.5,27.2,2019,31,-100
Trae Young,PG,21,ATL,60,60,35.3,9.1,20.8,0.437,3.4,9.5,0.361,5.7,11.4,0.501,0.519,8,9.3,0.86,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6,2019,33.25,-83.44
Anthony Davis,PF,27,LAL,36,36,32.3,8.4,17,0.491,0.7,2.8,0.26,7.6,14.3,0.536,0.512,4.4,5.9,0.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,1.7,21.8,2020,36.77,-119.41
Ben Simmons,PG,24,PHI,58,58,32.4,5.6,10.1,0.557,0.1,0.2,0.3,5.6,9.9,0.562,0.56,3,4.9,0.613,1.6,5.6,7.2,6.9,1.6,0.6,3,2.9,14.3,2020,41.2,-77.19
Bradley Beal,SG,27,WAS,60,60,35.8,11.2,23,0.485,2.2,6.2,0.349,9,16.8,0.535,0.532,6.8,7.7,0.889,1.2,3.5,4.7,4.4,1.2,0.4,3.1,2.3,31.3,2020,47.75,-120.74
Chris Paul,PG,35,PHO,70,70,31.4,6.3,12.6,0.499,1.5,3.7,0.395,4.8,8.9,0.543,0.557,2.4,2.6,0.934,0.4,4.1,4.5,8.9,1.4,0.3,2.2,2.4,16.4,2020,34.04,-111.09
Mike Conley,PG,33,UTA,51,51,29.4,5.6,12.5,0.444,2.7,6.6,0.412,2.9,6,0.479,0.552,2.4,2.8,0.852,0.7,2.8,3.5,6,1.4,0.2,1.9,1.9,16.2,2020,39.42,-111.95
Damian Lillard,PG,30,POR,67,67,35.8,9,19.9,0.451,4.1,10.5,0.391,4.9,9.4,0.519,0.554,6.7,7.2,0.928,0.5,3.7,4.2,7.5,0.9,0.3,3,1.5,28.8,2020,44,-120.5
Devin Booker,SG,24,PHO,67,67,33.9,9.3,19.2,0.484,1.9,5.5,0.34,7.4,13.7,0.543,0.533,5.1,5.9,0.867,0.5,3.7,4.2,4.3,0.8,0.2,3.1,2.7,25.6,2020,34.04,-111.09
Domantas Sabonis,PF,24,IND,62,62,36,7.8,14.6,0.535,0.8,2.6,0.321,7,12,0.582,0.564,3.9,5.3,0.732,2.4,9.5,12,6.7,1.2,0.5,3.4,3.3,20.3,2020,40.27,-86.13
Donovan Mitchell,PG,24,UTA,53,53,33.4,9,20.6,0.438,3.4,8.7,0.386,5.7,11.9,0.476,0.52,5,6,0.845,0.9,3.5,4.4,5.2,1,0.3,2.8,2.2,26.4,2020,39.42,-111.95
Giannis Antetokounmpo,PF,26,MIL,61,61,33,10.3,18,0.569,1.1,3.6,0.303,9.2,14.4,0.636,0.6,6.5,9.5,0.685,1.6,9.4,11,5.9,1.2,1.2,3.4,2.8,28.1,2020,44.5,-89.5
James Harden,SG,31,TOT,44,43,36.6,7.8,16.7,0.466,2.8,7.6,0.362,5,9.1,0.553,0.548,6.3,7.3,0.861,0.8,7.1,7.9,10.8,1.2,0.8,4,2.3,24.6,2020,47.75,-120.74
Jaylen Brown,SG,24,BOS,58,58,34.5,9.3,19.2,0.484,2.8,7.1,0.397,6.5,12.1,0.536,0.558,3.3,4.3,0.764,1.2,4.8,6,3.4,1.2,0.6,2.7,2.9,24.7,2020,42.41,-71.38
Jayson Tatum,SF,22,BOS,64,64,35.8,9.5,20.6,0.459,2.9,7.6,0.386,6.5,13,0.502,0.53,4.6,5.3,0.868,0.8,6.6,7.4,4.3,1.2,0.5,2.7,1.9,26.4,2020,42.41,-71.38
Joel Embiid,C,26,PHI,51,51,31.1,9,17.6,0.513,1.1,3,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.859,2.2,8.4,10.6,2.8,1,1.4,3.1,2.4,28.5,2020,41.2,-77.19
Julius Randle,PF,26,NYK,71,71,37.6,8.5,18.6,0.456,2.3,5.5,0.411,6.2,13.1,0.474,0.516,4.9,6,0.811,1.2,9,10.2,6,0.9,0.3,3.4,3.2,24.1,2020,43,-75
Kawhi Leonard,SF,29,LAC,52,52,34.1,8.9,17.5,0.512,1.9,4.9,0.398,7,12.6,0.557,0.568,5,5.7,0.885,1.1,5.4,6.5,5.2,1.6,0.4,2,1.6,24.8,2020,36.78,-119.42
Kevin Durant,PF,32,BRK,35,32,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.8,11.8,0.577,0.608,6,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2,26.9,2020,43,-75
Kyrie Irving,PG,28,BRK,54,54,34.9,10.2,20.1,0.506,2.8,7,0.402,7.4,13.1,0.561,0.576,3.7,4,0.922,1,3.8,4.8,6,1.4,0.7,2.4,2.6,26.9,2020,43,-75
LeBron James,PG,36,LAL,45,45,33.4,9.4,18.3,0.513,2.3,6.3,0.365,7.1,12,0.591,0.576,4,5.7,0.698,0.6,7,7.7,7.8,1.1,0.6,3.7,1.6,25,2020,36.77,-119.41
Luka Dončić,PG,21,DAL,66,66,34.3,9.8,20.5,0.479,2.9,8.3,0.35,6.9,12.2,0.567,0.55,5.2,7.1,0.73,0.8,7.2,8,8.6,1,0.5,4.3,2.3,27.7,2020,31,-100
Nikola Jokić,C,25,DEN,72,72,34.6,10.2,18,0.566,1.3,3.3,0.388,8.9,14.7,0.606,0.602,4.8,5.5,0.868,2.8,8,10.8,8.3,1.3,0.7,3.1,2.7,26.4,2020,39.11,-105.36
Nikola Vučević,C,30,TOT,70,70,33.5,9.5,19.9,0.477,2.5,6.3,0.4,7,13.7,0.513,0.54,1.9,2.2,0.84,2.1,9.6,11.7,3.8,0.9,0.7,1.8,2,23.4,2020,47.75,-120.74
Paul George,SF,30,LAC,54,54,33.7,8.2,17.6,0.467,3.2,7.7,0.411,5.1,9.9,0.51,0.557,3.7,4.2,0.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3,2020,36.78,-119.42
Rudy Gobert,C,28,UTA,71,71,30.8,5.5,8.2,0.675,0,0.1,0,5.5,8.1,0.68,0.675,3.3,5.3,0.623,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3,2020,39.42,-111.95
Stephen Curry,PG,32,GSW,63,63,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.1,9,0.569,0.605,5.7,6.3,0.916,0.5,5,5.5,5.8,1.2,0.1,3.4,1.9,32,2020,36.77,-119.41
Zach LaVine,SG,25,CHI,58,58,35.1,9.8,19.4,0.507,3.4,8.2,0.419,6.4,11.1,0.571,0.596,4.4,5.1,0.849,0.6,4.4,5,4.9,0.8,0.5,3.5,2.4,27.4,2020,40,-89
Zion Williamson,PF,20,NOP,61,61,33.2,10.4,17,0.611,0.2,0.6,0.294,10.2,16.4,0.622,0.616,6,8.7,0.698,2.7,4.5,7.2,3.7,0.9,0.6,2.7,2.2,27,2020,30.39,-92.33
Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,2021,40.37,-82.99
Giannis Antetokounmpo,PF,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15,0.616,0.582,8.3,11.4,0.722,2,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,2021,44.5,-89.5
LaMelo Ball,PG,20,CHI,75,75,32.3,7.2,16.7,0.429,2.9,7.5,0.389,4.2,9.2,0.462,0.517,2.8,3.2,0.872,1.4,5.2,6.7,7.6,1.6,0.4,3.3,3.2,20.1,2021,40,-89
Devin Booker,SG,25,PHO,68,68,34.5,9.7,20.9,0.466,2.7,7,0.383,7,13.9,0.508,0.53,4.6,5.3,0.868,0.7,4.4,5,4.8,1.1,0.4,2.4,2.6,26.8,2021,34.04,-111.09
Jimmy Butler,SF,32,MIA,57,57,33.9,7,14.5,0.48,0.5,2,0.233,6.5,12.5,0.52,0.496,6.9,8,0.87,1.8,4.1,5.9,5.5,1.6,0.5,2.1,1.5,21.4,2021,27.99,-81.76
Stephen Curry,PG,33,GSW,64,64,34.5,8.4,19.1,0.437,4.5,11.7,0.38,3.9,7.4,0.527,0.554,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2,25.5,2021,36.77,-119.41
DeMar DeRozan,PF,32,CHI,76,76,36.1,10.2,20.2,0.504,0.7,1.9,0.352,9.5,18.3,0.52,0.521,6.8,7.8,0.877,0.7,4.4,5.2,4.9,0.9,0.3,2.4,2.3,27.9,2021,40,-89
Luka Dončić,PG,22,DAL,65,65,35.4,9.9,21.6,0.457,3.1,8.8,0.353,6.8,12.8,0.528,0.529,5.6,7.5,0.744,0.9,8.3,9.1,8.7,1.2,0.6,4.5,2.2,28.4,2021,31,-100
Kevin Durant,PF,33,BRK,55,55,37.2,10.5,20.3,0.518,2.1,5.5,0.383,8.4,14.8,0.568,0.57,6.8,7.4,0.91,0.5,6.9,7.4,6.4,0.9,0.9,3.5,2.1,29.9,2021,43,-75
Joel Embiid,C,27,PHI,68,68,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,2021,41.2,-77.19
Darius Garland,PG,22,CLE,68,68,35.7,8,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,2021,40.37,-82.99
Rudy Gobert,C,29,UTA,66,66,32.1,5.5,7.7,0.713,0,0.1,0,5.5,7.6,0.718,0.713,4.6,6.7,0.69,3.7,11,14.7,1.1,0.7,2.1,1.8,2.7,15.6,2021,39.42,-111.95
Draymond Green,PF,31,GSW,46,44,28.9,2.9,5.6,0.525,0.3,1.2,0.296,2.6,4.4,0.586,0.556,1.3,2,0.659,1,6.3,7.3,7,1.3,1.1,3,3,7.5,2021,36.77,-119.41
James Harden,PG,32,TOT,65,65,37.2,6.3,15.3,0.41,2.3,6.9,0.33,4,8.4,0.476,0.485,7.2,8.2,0.877,0.8,6.8,7.7,10.3,1.3,0.6,4.4,2.4,22,2021,47.75,-120.74
LeBron James,PF,37,LAL,56,56,37.2,11.4,21.8,0.524,2.9,8,0.359,8.6,13.8,0.62,0.59,4.5,6,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,2021,36.77,-119.41
Nikola Jokić,C,26,DEN,74,74,33.5,10.3,17.7,0.583,1.3,3.9,0.337,9,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11,13.8,7.9,1.5,0.9,3.8,2.6,27.1,2021,39.11,-105.36
Zach LaVine,SG,26,CHI,67,67,34.7,8.4,17.7,0.476,2.8,7.1,0.389,5.7,10.6,0.534,0.554,4.8,5.6,0.853,0.3,4.3,4.6,4.5,0.6,0.3,2.6,1.8,24.4,2021,40,-89
Khris Middleton,SF,30,MIL,66,66,32.4,6.8,15.5,0.443,2.5,6.6,0.373,4.4,8.9,0.494,0.522,3.9,4.4,0.89,0.6,4.8,5.4,5.4,1.2,0.3,2.9,2.4,20.1,2021,44.5,-89.5
Donovan Mitchell,SG,25,UTA,67,67,33.8,9.2,20.5,0.448,3.5,9.8,0.355,5.7,10.8,0.533,0.533,4,4.7,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3,2.4,25.9,2021,39.42,-111.95
Ja Morant,PG,22,MEM,57,57,33.1,10.2,20.6,0.493,1.5,4.5,0.344,8.6,16.2,0.534,0.53,5.5,7.3,0.761,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.4,2021,35.86,-86.66
Dejounte Murray,PG,25,SAS,68,68,34.8,8.4,18.3,0.462,1.4,4.3,0.327,7,13.9,0.504,0.5,2.9,3.6,0.794,1.2,7.1,8.3,9.2,2,0.3,2.6,2,21.1,2021,31,-100
Chris Paul,PG,36,PHO,65,65,32.9,5.6,11.3,0.493,1,3.1,0.317,4.6,8.3,0.559,0.536,2.6,3.1,0.837,0.3,4,4.4,10.8,1.9,0.3,2.4,2.1,14.7,2021,34.04,-111.09
Jayson Tatum,SF,23,BOS,76,76,35.9,9.3,20.6,0.453,3,8.6,0.353,6.3,12,0.524,0.526,5.3,6.2,0.853,1.1,6.9,8,4.4,1,0.6,2.9,2.3,26.9,2021,42.41,-71.38
Karl-Anthony Towns,C,26,MIN,74,74,33.5,8.7,16.4,0.529,2,4.9,0.41,6.6,11.5,0.58,0.591,5.2,6.3,0.822,2.6,7.2,9.8,3.6,1,1.1,3.1,3.6,24.6,2021,46.39,-94.64
Fred VanVleet,PG,27,TOR,65,65,37.9,6.8,16.9,0.403,3.7,9.9,0.377,3.1,7,0.44,0.513,3,3.4,0.874,0.7,3.8,4.4,6.7,1.7,0.5,2.6,2.5,20.3,2021,43.65,-79.34
Andrew Wiggins,SF,26,GSW,73,73,31.9,6.5,14,0.466,2.2,5.5,0.393,4.4,8.5,0.513,0.543,2,3.2,0.634,1.2,3.3,4.5,2.2,1,0.7,1.5,2.2,17.2,2021,36.77,-119.41
Trae Young,PG,23,ATL,76,76,34.9,9.4,20.3,0.46,3.1,8,0.382,6.3,12.3,0.512,0.536,6.6,7.3,0.904,0.7,3.1,3.7,9.7,0.9,0.1,4,1.7,28.4,2021,33.25,-83.44
